span_id,line_id,component,installation_date,maintenance_period_days,HI_score_last,HI_class_last,RUL_days,predicted_lifetime_days,lightning_flash_density,region
SP-00193,LINE-NE1,Insulator,2019-05-23,2139,5.0,HI5,206.9,2345.9,23.81,Northeast
SP-00094,LINE-NE1,Arrester,2019-06-10,2121,5.0,HI5,206.9,2327.9,21.47,Northeast
SP-00834,LINE-N2,Arrester,2019-02-07,2244,5.0,HI5,207.2,2451.2,19.67,North
SP-00118,LINE-NE1,Arrester,2019-10-17,1992,4.95,HI4,211.1,2203.1,23.56,Northeast
SP-00695,LINE-N2,Arrester,2018-06-26,2470,5.0,HI5,211.3,2681.3,16.62,North
SP-00382,LINE-NE2,Arrester,2020-05-11,1785,5.0,HI5,212.2,1997.2,26.25,Northeast
SP-00649,LINE-N2,Arrester,2019-04-20,2172,5.0,HI5,212.2,2384.2,18.68,North
SP-00064,LINE-NE1,Arrester,2018-06-23,1715,5.0,HI5,212.9,1927.9,29.15,Northeast
SP-00282,LINE-NE2,Arrester,2019-09-30,2009,5.0,HI5,214.0,2223.0,21.33,Northeast
SP-00448,LINE-N1,Insulator,2018-07-27,2439,4.94,HI4,219.5,2658.5,21.4,North
SP-00640,LINE-N2,Arrester,2019-01-26,2256,5.0,HI5,220.9,2476.9,16.56,North
SP-00119,LINE-NE1,Arrester,2020-03-17,1840,5.0,HI5,220.9,2060.9,26.28,Northeast
SP-00406,LINE-NE2,Arrester,2019-11-07,1971,5.0,HI5,222.0,2193.0,23.24,Northeast
SP-01182,LINE-C2,Arrester,2018-06-28,2468,5.0,HI5,223.4,2691.4,13.81,Central
SP-00430,LINE-N1,Insulator,2018-09-18,2386,5.0,HI5,223.9,2609.9,21.21,North
SP-00169,LINE-NE1,Insulator,2018-08-10,2425,5.0,HI5,225.0,2650.0,24.68,Northeast
SP-01057,LINE-C2,Insulator,2018-03-21,2567,5.0,HI5,226.2,2793.2,16.92,Central
SP-00530,LINE-N1,Insulator,2020-06-24,1741,5.0,HI5,226.8,1967.8,16.97,North
SP-01144,LINE-C2,Arrester,2018-12-24,2289,5.0,HI5,226.9,2515.9,16.69,Central
SP-00571,LINE-N1,Arrester,2019-05-10,2152,5.0,HI5,227.1,2379.1,23.7,North
SP-00914,LINE-C1,Arrester,2018-04-03,2554,5.0,HI5,227.6,2781.6,14.99,Central
SP-00034,LINE-NE1,Insulator,2019-03-12,2211,5.0,HI5,228.5,2439.5,24.43,Northeast
SP-00744,LINE-N2,Arrester,2018-10-20,2354,5.0,HI5,230.5,2584.5,18.2,North
SP-00581,LINE-N1,Arrester,2019-07-08,2093,5.0,HI5,230.9,2323.9,23.8,North
SP-00371,LINE-NE2,Arrester,2018-10-09,1727,5.0,HI5,232.6,1959.6,28.08,Northeast
SP-01093,LINE-C2,Arrester,2018-10-23,2351,4.91,HI4,233.5,2584.5,18.07,Central
SP-00330,LINE-NE2,Arrester,2019-10-18,1991,5.0,HI5,234.9,2225.9,21.4,Northeast
SP-01246,LINE-C2,Arrester,2018-05-09,2518,5.0,HI5,235.0,2753.0,12.83,Central
SP-00338,LINE-NE2,Arrester,2019-11-23,1955,5.0,HI5,235.3,2190.3,23.61,Northeast
SP-00053,LINE-NE1,Arrester,2018-11-22,1983,5.0,HI5,236.3,2219.3,23.82,Northeast
SP-01479,LINE-S2,Insulator,2019-05-19,2143,5.0,HI5,236.9,2379.9,13.25,South
SP-00495,LINE-N1,Arrester,2018-06-20,2476,5.0,HI5,237.7,2713.7,18.94,North
SP-00218,LINE-NE2,Arrester,2019-04-03,2189,4.86,HI4,239.0,2428.0,21.96,Northeast
SP-01260,LINE-C2,Arrester,2019-03-01,2222,5.0,HI5,241.5,2463.5,18.11,Central
SP-00071,LINE-NE1,Arrester,2020-01-22,1781,5.0,HI5,241.6,2022.6,26.65,Northeast
SP-00395,LINE-NE2,Arrester,2019-12-17,1931,5.0,HI5,241.6,2172.6,22.74,Northeast
SP-00248,LINE-NE2,Arrester,2020-05-17,1779,5.0,HI5,243.2,2022.2,28.01,Northeast
SP-00641,LINE-N2,Insulator,2018-02-14,2602,5.0,HI5,243.5,2845.5,16.14,North
SP-01167,LINE-C2,Arrester,2018-09-11,2393,5.0,HI5,243.8,2636.8,12.95,Central
SP-00186,LINE-NE1,Arrester,2019-10-28,1897,5.0,HI5,244.0,2141.0,26.72,Northeast
SP-00796,LINE-N2,Insulator,2018-05-07,2446,5.0,HI5,246.4,2692.4,23.35,North
SP-01291,LINE-S1,Arrester,2018-01-23,2624,5.0,HI5,247.8,2871.8,11.34,South
SP-00649,LINE-N2,Insulator,2019-04-20,2172,5.0,HI5,248.8,2420.8,18.68,North
SP-00996,LINE-C1,Arrester,2018-02-01,2615,5.0,HI5,250.1,2865.1,15.37,Central
SP-00777,LINE-N2,Arrester,2019-01-16,2266,5.0,HI5,252.1,2518.1,15.65,North
SP-00515,LINE-N1,Arrester,2019-04-23,2169,5.0,HI5,253.0,2422.0,23.41,North
SP-00781,LINE-N2,Insulator,2019-01-09,1905,5.0,HI5,254.7,2159.7,15.92,North
SP-00052,LINE-NE1,Arrester,2018-12-04,1838,5.0,HI5,254.9,2092.9,27.15,Northeast
SP-00541,LINE-N1,Arrester,2019-01-02,2280,5.0,HI5,255.2,2535.2,21.11,North
SP-00066,LINE-NE1,Arrester,2019-06-11,2120,5.0,HI5,255.2,2375.2,21.93,Northeast
SP-01252,LINE-C2,Arrester,2019-04-21,2171,5.0,HI5,255.8,2426.8,19.57,Central
SP-00551,LINE-N1,Arrester,2019-03-17,2206,5.0,HI5,256.0,2462.0,21.98,North
SP-00698,LINE-N2,Insulator,2018-06-03,2493,5.0,HI5,258.1,2751.1,23.44,North
SP-01301,LINE-S1,Arrester,2018-04-24,2533,5.0,HI5,260.5,2793.5,11.72,South
SP-01117,LINE-C2,Arrester,2018-10-13,2361,5.0,HI5,261.4,2622.4,13.96,Central
SP-01669,LINE-S2,Insulator,2019-01-07,2275,5.0,HI5,262.7,2537.7,8.49,South
SP-01170,LINE-C2,Arrester,2018-03-25,2563,5.0,HI5,268.0,2831.0,10.87,Central
SP-00270,LINE-NE2,Arrester,2020-03-20,1665,5.0,HI5,268.3,1933.3,29.8,Northeast
SP-00073,LINE-NE1,Arrester,2019-10-20,1989,5.0,HI5,268.6,2257.6,22.61,Northeast
SP-00255,LINE-NE2,Arrester,2020-04-06,1820,5.0,HI5,270.3,2090.3,26.18,Northeast
SP-00138,LINE-NE1,Insulator,2018-03-03,2585,5.0,HI5,270.4,2855.4,28.95,Northeast
SP-00440,LINE-N1,Arrester,2018-07-17,2449,5.0,HI5,270.5,2719.5,16.31,North
SP-00300,LINE-NE2,Insulator,2018-03-16,1915,5.0,HI5,273.5,2188.5,29.94,Northeast
SP-00614,LINE-N1,Arrester,2018-09-02,2096,5.0,HI5,273.8,2369.8,24.87,North
SP-00037,LINE-NE1,Arrester,2020-03-05,1749,5.0,HI5,274.2,2023.2,29.37,Northeast
SP-00518,LINE-N1,Insulator,2018-05-19,2222,5.0,HI5,275.2,2497.2,19.72,North
SP-00257,LINE-NE2,Arrester,2020-08-01,1703,5.0,HI5,275.9,1978.9,27.78,Northeast
SP-00237,LINE-NE2,Arrester,2018-08-30,1870,5.0,HI5,276.3,2146.3,23.27,Northeast
SP-00963,LINE-C1,Arrester,2018-11-01,2342,5.0,HI5,276.8,2618.8,19.89,Central
SP-01106,LINE-C2,Arrester,2018-12-18,2295,5.0,HI5,277.5,2572.5,17.64,Central
SP-01057,LINE-C2,Arrester,2018-03-21,2342,5.0,HI5,277.9,2619.9,16.92,Central
SP-00955,LINE-C1,Arrester,2018-01-02,2645,5.0,HI5,278.9,2923.9,13.74,Central
SP-00941,LINE-C1,Insulator,2018-08-19,2416,5.0,HI5,280.6,2696.6,11.44,Central
SP-00065,LINE-NE1,Arrester,2020-01-04,1913,5.0,HI5,281.1,2194.1,25.45,Northeast
SP-00450,LINE-N1,Arrester,2018-01-18,2479,5.0,HI5,283.8,2762.8,15.03,North
SP-00814,LINE-N2,Arrester,2020-03-04,1853,5.0,HI5,284.6,2137.6,23.9,North
SP-00739,LINE-N2,Arrester,2018-05-23,1909,5.0,HI5,285.6,2194.6,23.03,North
SP-00747,LINE-N2,Insulator,2019-01-05,2277,5.0,HI5,286.1,2563.1,17.5,North
SP-00493,LINE-N1,Insulator,2020-02-29,1857,5.0,HI5,287.9,2144.9,17.1,North
SP-01186,LINE-C2,Insulator,2018-06-26,2252,5.0,HI5,288.8,2540.8,15.63,Central
SP-00275,LINE-NE2,Arrester,2020-11-28,1584,5.0,HI5,291.0,1875.0,28.89,Northeast
SP-00403,LINE-NE2,Arrester,2020-08-03,1701,5.0,HI5,291.6,1992.6,28.95,Northeast
SP-01397,LINE-S1,Arrester,2018-09-21,2383,5.0,HI5,294.6,2677.6,14.96,South
SP-01570,LINE-S2,Arrester,2018-03-28,2560,5.0,HI5,295.1,2855.1,12.99,South
SP-00153,LINE-NE1,Arrester,2020-02-14,1872,5.0,HI5,296.7,2168.7,23.99,Northeast
SP-00361,LINE-NE2,Insulator,2018-06-30,2466,5.0,HI5,297.2,2763.2,24.37,Northeast
SP-01250,LINE-C2,Insulator,2018-03-01,2587,5.0,HI5,297.7,2884.7,14.21,Central
SP-01291,LINE-S1,Insulator,2018-01-23,2624,5.0,HI5,299.0,2923.0,11.34,South
SP-01023,LINE-C1,Arrester,2018-01-15,2632,5.0,HI5,299.1,2931.1,15.49,Central
SP-00766,LINE-N2,Arrester,2019-02-11,2240,5.0,HI5,300.9,2540.9,17.66,North
SP-00220,LINE-NE2,Arrester,2018-08-17,1952,5.0,HI5,301.2,2253.2,22.6,Northeast
SP-00223,LINE-NE2,Arrester,2020-03-16,1841,5.0,HI5,302.4,2143.4,27.18,Northeast
SP-00045,LINE-NE1,Arrester,2019-09-25,2014,5.0,HI5,305.2,2319.2,20.15,Northeast
SP-00927,LINE-C1,Insulator,2018-03-06,2582,5.0,HI5,307.2,2889.2,16.82,Central
SP-00266,LINE-NE2,Arrester,2020-04-25,1801,5.0,HI5,307.9,2108.9,25.89,Northeast
SP-01232,LINE-C2,Arrester,2018-06-16,2236,5.0,HI5,307.9,2543.9,18.36,Central
SP-01238,LINE-C2,Arrester,2018-08-10,2425,5.0,HI5,309.2,2734.2,14.46,Central
SP-00793,LINE-N2,Arrester,2018-04-12,2116,5.0,HI5,310.2,2426.2,18.63,North
SP-01628,LINE-S2,Insulator,2018-04-28,2529,5.0,HI5,313.2,2842.2,13.85,South
SP-00956,LINE-C1,Arrester,2018-10-25,2349,5.0,HI5,313.8,2662.8,19.75,Central
SP-01000,LINE-C1,Insulator,2019-02-21,2230,5.0,HI5,314.7,2544.7,16.1,Central
SP-01256,LINE-C2,Arrester,2018-09-30,2374,4.93,HI4,318.0,2692.0,14.35,Central
SP-00434,LINE-N1,Arrester,2019-02-15,2236,5.0,HI5,318.2,2554.2,20.17,North
SP-00603,LINE-N1,Arrester,2019-08-12,2058,5.0,HI5,319.9,2377.9,24.55,North
SP-00100,LINE-NE1,Arrester,2019-12-25,1923,5.0,HI5,319.9,2242.9,21.29,Northeast
SP-01342,LINE-S1,Insulator,2019-02-07,2244,5.0,HI5,320.9,2564.9,9.99,South
SP-00258,LINE-NE2,Insulator,2018-02-17,2599,5.0,HI5,321.0,2920.0,20.42,Northeast
SP-00792,LINE-N2,Insulator,2020-12-05,1577,5.0,HI5,321.5,1898.5,18.44,North
SP-00095,LINE-NE1,Arrester,2019-07-14,2087,5.0,HI5,322.8,2409.8,20.79,Northeast
SP-00291,LINE-NE2,Arrester,2019-11-27,1951,5.0,HI5,326.4,2277.4,20.27,Northeast
SP-00120,LINE-NE1,Arrester,2020-09-07,1666,5.0,HI5,327.3,1993.3,27.84,Northeast
SP-01060,LINE-C2,Arrester,2018-09-05,2315,5.0,HI5,328.0,2643.0,16.95,Central
SP-00525,LINE-N1,Insulator,2019-10-20,1989,5.0,HI5,328.3,2317.3,19.13,North
SP-00126,LINE-NE1,Insulator,2019-08-02,1968,5.0,HI5,328.3,2296.3,24.61,Northeast
SP-00365,LINE-NE2,Arrester,2019-09-21,1631,5.0,HI5,329.7,1960.7,26.56,Northeast
SP-00236,LINE-NE2,Arrester,2019-12-18,1930,5.0,HI5,330.1,2260.1,20.61,Northeast
SP-00771,LINE-N2,Arrester,2019-10-24,1985,5.0,HI5,331.1,2316.1,21.44,North
SP-00944,LINE-C1,Arrester,2018-06-03,2493,5.0,HI5,331.9,2824.9,15.65,Central
SP-01667,LINE-S2,Insulator,2019-06-01,2130,5.0,HI5,332.8,2462.8,13.38,South
SP-01372,LINE-S1,Arrester,2018-05-22,2505,5.0,HI5,333.0,2838.0,11.94,South
SP-00443,LINE-N1,Arrester,2018-03-21,2567,5.0,HI5,333.8,2900.8,15.37,North
SP-00695,LINE-N2,Insulator,2018-06-26,2470,5.0,HI5,334.4,2804.4,16.62,North
SP-00632,LINE-N2,Insulator,2019-10-21,1988,5.0,HI5,335.5,2323.5,16.0,North
SP-00011,LINE-NE1,Arrester,2020-04-21,1805,5.0,HI5,337.0,2142.0,26.11,Northeast
SP-00613,LINE-N1,Insulator,2018-05-13,2164,5.0,HI5,338.2,2502.2,24.64,North
SP-01299,LINE-S1,Arrester,2018-10-22,2352,5.0,HI5,338.8,2690.8,12.68,South
SP-00919,LINE-C1,Arrester,2018-10-22,2352,5.0,HI5,341.9,2693.9,18.63,Central
SP-00174,LINE-NE1,Arrester,2020-07-12,1723,5.0,HI5,344.5,2067.5,24.26,Northeast
SP-00843,LINE-C1,Arrester,2019-02-06,2245,5.0,HI5,345.3,2590.3,18.45,Central
SP-01104,LINE-C2,Arrester,2018-08-29,2406,5.0,HI5,346.1,2752.1,12.88,Central
SP-00023,LINE-NE1,Arrester,2020-02-28,1858,5.0,HI5,346.3,2204.3,22.8,Northeast
SP-01203,LINE-C2,Insulator,2018-02-01,2615,4.96,HI4,346.6,2961.6,16.11,Central
SP-01368,LINE-S1,Insulator,2019-01-20,2262,5.0,HI5,346.6,2608.6,14.96,South
SP-00480,LINE-N1,Arrester,2018-09-16,2199,5.0,HI5,346.7,2545.7,19.74,North
SP-00762,LINE-N2,Arrester,2020-02-05,1881,5.0,HI5,347.5,2228.5,24.22,North
SP-00679,LINE-N2,Arrester,2019-06-07,2124,5.0,HI5,352.4,2476.4,20.34,North
SP-00482,LINE-N1,Insulator,2020-03-26,1831,5.0,HI5,355.9,2186.9,22.77,North
SP-00602,LINE-N1,Arrester,2018-01-08,2096,5.0,HI5,357.1,2453.1,23.08,North
SP-00165,LINE-NE1,Insulator,2019-09-23,2016,5.0,HI5,358.2,2374.2,28.2,Northeast
SP-00095,LINE-NE1,Insulator,2019-07-14,2087,5.0,HI5,358.5,2445.5,20.79,Northeast
SP-01462,LINE-S1,Arrester,2018-07-01,2396,5.0,HI5,359.2,2755.2,12.91,South
SP-00143,LINE-NE1,Arrester,2020-04-04,1822,5.0,HI5,359.4,2181.4,23.62,Northeast
SP-01645,LINE-S2,Insulator,2019-04-13,2179,5.0,HI5,364.3,2543.3,14.52,South
SP-00808,LINE-N2,Arrester,2019-12-24,1924,5.0,HI5,364.6,2288.6,19.3,North
